Email,Contact Name,Phone Number,Residence Name,Organization Name,Stage,Location,County,NARR Level,Cert Date or Last Contact Date,Interviewer,unused,Notes
alyssa@wishope.org,Alyssa Stoehr,(844) 947-4673,THE FARM,Wishope Inc.,,WAUKESHA,WAUKESHA,,,,,
hello@wishope.org,Kirstie Keith,(844) 947-4673,THE LOIS HOUSE,Wishope Recovery Center,,WAUKESHA,WAUKESHA,,,,,
hello@wishope.org,Alyssa Stoehr,(844) 947-4673,THE RECOVERY VILLAGE,Wishope Recovery Center,,WAUKESHA,WAUKESHA,,,,,
michael@impactwi.org,Michael J Hall,(920) 412-2772,MISSION OF HOPE,Mission Of Hope House Of Wisconsin Inc,,NEW  LONDON,WAUPACA,,,,,
michael@impactwi.org,Michael J. Hall,(920) 412-2772,THE LILAC HOUSE,Impact Wisconsin,,WAUPACA,WAUPACA,,,,,
Michael@impactwi.org,Michael J. Hall,(920) 412-2772,THE PARK HOUSE IMPACT WI,Impact Wisconsin,,WEYAUWEGA,WAUPACA,,,,,
jerpat4086@gmail.com,Patti Miller,(920) 573-0829,AMALIAS MENS SOBER LIVING PROGRAMS,Amalias Mens Sober Living Program,,WAUTOMA,WAUSHARA,,,,,
jerpat4d86@gmail.com,Patti Miller,(920) 573-0829,AMELIAS MENS SOBER LIVING PROGRAM,Gods 911 Team Inc,,WAUTOMA,WAUSHARA,,,,,
soberliving@apricityservices.com,Dan Haak,(920) 722-2345,MAHALO,Mooring Programs,,NEENAH,WINNEBAGO,,,,,
soberliving@apricityservices.com,Dan Haak,(920) 722-2345,MANA,Mooring Programs,,NEENAH,WINNEBAGO,,,,,
soberliving@apricityservices.com,Dan Haak,(920) 722-2345,OHANA,Mooring Programs,,NEENAH,WINNEBAGO,,,,,
SolutionsHouse@www.solutionsrecoveryclub.org,Mary Drephal,(920) 233-0888,SOLUTIONS RECOVERY INC,"Solutions Recovery, Inc.",,OSHKOSH,WINNEBAGO,,,,,
Mail@soularity.infor,Michelle R Gilbank,(715) 600-1207,OUR HAPPY PLACE,Soularity Llc,,MARSHFIELD,WOOD,,,,,
